id;trainig_number;start_date;end_date;training_name;status_name
1;tolerancia;2022-10-29;2022-10-29;Seguro;Madera Blanco
2;Salud;2022-10-30;2022-10-29;Morado;Calleja Marroquinería navigating
3;hack Total compress;2022-10-29;2022-10-29;streamline Vasco;Baleares Seguro
4;innovative;2022-10-29;2022-10-29;Dollar Joyería;Librería
5;channels revolutionize;2022-10-29;2022-10-29;back-end;sistémica Cambridgeshire
6;copy;2022-10-30;2022-10-29;Home Lesotho Cambridgeshire;withdrawal strategic Loan
7;Cataluña transmitting payment;2022-10-29;2022-10-30;Bedfordshire;Pequeño Consultor wireless
8;Informática Increible;2022-10-29;2022-10-29;transmit withdrawal indexing;Krone metodologías
9;fritas;2022-10-29;2022-10-29;Bedfordshire calculate;USB Acero
10;collaborative mobile ubiquitous;2022-10-29;2022-10-29;Grupo;Rua Hormigon Croacia
